prompts,results
"I have Fever, Fatigue, Difficulty Breathing. What disease do i have?",You have Influenza.
"I have Cough, Fatigue. What disease do i have?",You don't have a disease.
"I have Cough, Fatigue. What disease do i have?",You don't have a disease.
"I have Fever, Cough, Difficulty Breathing. What disease do i have?",You have Asthma.
"I have Fever, Cough, Difficulty Breathing. What disease do i have?",You have Asthma.
I have Fever. What disease do i have?,You have Eczema.
"I have Fever, Cough, Fatigue, Difficulty Breathing. What disease do i have?",You have Influenza.
"I have Fever, Cough, Fatigue, Difficulty Breathing. What disease do i have?",You have Influenza.
I have Cough. What disease do i have?,You don't have a disease.
I have Cough. What disease do i have?,You don't have a disease.
"I have Fever, Difficulty Breathing, Blood Pressure. What disease do i have?",You have Asthma.
"I have Cough, Fatigue. What disease do i have?",You don't have a disease.
"I have Cough, Cholesterol Level. What disease do i have?",You don't have a disease.
I have . What disease do i have?,You don't have a disease.
I have . What disease do i have?,You don't have a disease.
I have Cough. What disease do i have?,You don't have a disease.
"I have Fever, Blood Pressure. What disease do i have?",You don't have a disease.
"I have Cough, Fatigue, Difficulty Breathing, Blood Pressure, Cholesterol Level. What disease do i have?",You don't have a disease.
"I have Fever, Cough, Fatigue, Difficulty Breathing, Blood Pressure. What disease do i have?",You have Depression.
"I have Fever, Cough, Fatigue, Difficulty Breathing. What disease do i have?",You have Liver Cancer.
"I have Fever, Cough, Fatigue, Difficulty Breathing. What disease do i have?",You have Stroke.
"I have Fever, Cough, Fatigue, Blood Pressure, Cholesterol Level. What disease do i have?",You have Urinary Tract Infection.
"I have Fever, Fatigue. What disease do i have?",You don't have a disease.
"I have Fever, Fatigue. What disease do i have?",You don't have a disease.
"I have Cough, Fatigue, Blood Pressure, Cholesterol Level. What disease do i have?",You don't have a disease.
"I have Fever, Cough, Fatigue, Blood Pressure, Cholesterol Level. What disease do i have?",You don't have a disease.
"I have Fever, Cough, Fatigue, Difficulty Breathing, Blood Pressure. What disease do i have?",You don't have a disease.
I have Fatigue. What disease do i have?,You don't have a disease.
I have Fever. What disease do i have?,You don't have a disease.
"I have Cough, Fatigue. What disease do i have?",You don't have a disease.
"I have Fatigue, Blood Pressure, Cholesterol Level. What disease do i have?",You don't have a disease.
"I have Cough, Fatigue. What disease do i have?",You don't have a disease.
"I have Fever, Cough. What disease do i have?",You don't have a disease.
"I have Cough, Fatigue. What disease do i have?",You don't have a disease.
"I have Fever, Cough, Difficulty Breathing. What disease do i have?",You have Asthma.
"I have Fever, Cough, Difficulty Breathing. What disease do i have?",You have Asthma.
"I have Fever, Cough, Fatigue, Difficulty Breathing. What disease do i have?",You have Asthma.
"I have Fatigue, Blood Pressure, Cholesterol Level. What disease do i have?",You have Bipolar Disorder.
"I have Fever, Cough, Difficulty Breathing. What disease do i have?",You have Bronchitis.
"I have Fever, Cough, Fatigue, Difficulty Breathing, Blood Pressure, Cholesterol Level. What disease do i have?",You have Bronchitis.
"I have Fever, Cough, Fatigue, Difficulty Breathing, Blood Pressure, Cholesterol Level. What disease do i have?",You have Bronchitis.
"I have Fatigue, Difficulty Breathing. What disease do i have?",You have Cerebral Palsy.
"I have Fatigue, Cholesterol Level. What disease do i have?",You have Colorectal Cancer.
"I have Fever, Blood Pressure, Cholesterol Level. What disease do i have?",You have Eczema.
"I have Fatigue, Blood Pressure, Cholesterol Level. What disease do i have?",You have Hypertensive Heart Disease.
"I have Fever, Cough, Fatigue, Blood Pressure. What disease do i have?",You have Influenza.
"I have Fever, Cough, Fatigue, Difficulty Breathing. What disease do i have?",You have Influenza.
"I have Fatigue, Blood Pressure, Cholesterol Level. What disease do i have?",You have Multiple Sclerosis.
"I have Fever, Cough, Fatigue, Difficulty Breathing, Blood Pressure, Cholesterol Level. What disease do i have?",You have Myocardial Infarction (Heart....
I have Fever. What disease do i have?,You have Urinary Tract Infection (UTI).
I have Difficulty Breathing. What disease do i have?,You don't have a disease.
I have Difficulty Breathing. What disease do i have?,You don't have a disease.
"I have Fever, Fatigue, Difficulty Breathing, Blood Pressure, Cholesterol Level. What disease do i have?",You have Common Cold.
I have Fever. What disease do i have?,You have Migraine.
"I have Fever, Fatigue, Difficulty Breathing, Blood Pressure. What disease do i have?",You have Pneumonia.
I have Fatigue. What disease do i have?,You don't have a disease.
"I have Cough, Fatigue, Difficulty Breathing, Cholesterol Level. What disease do i have?",You don't have a disease.
"I have Fever, Cough, Fatigue, Difficulty Breathing. What disease do i have?",You don't have a disease.
